Timestamp,Your Gender,Your age (completed in years),Your weight (in Kg),I like orange,I like grapes,I like banana,I like apple,I like mango,I like cherry,Your Height (in cm)
11/21/2022 21:53:30,Male,42,68,my favorite,some what,seasonally,some what,seasonally,not at all,145
11/21/2022 22:03:09,Female,39,63,seasonally,seasonally,seasonally,seasonally,my favorite,seasonally,155
11/21/2022 22:16:21,Male,36,65,seasonally,some what,my favorite,seasonally,my favorite,if no other fruits available,162
11/22/2022 11:11:32,Male,21,60,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally,174
11/22/2022 11:11:37,Male,21,105,seasonally,seasonally,not at all,seasonally,my favorite,seasonally,172
11/22/2022 11:12:23,Male,21,65,some what,seasonally,if no other fruits available,my favorite,seasonally,not at all,175
11/22/2022 11:12:57,Female,29,68,seasonally,some what,some what,some what,my favorite,some what,163
11/22/2022 11:13:00,Female,20,78,some what,if no other fruits available,if no other fruits available,not at all,my favorite,not at all,168
11/22/2022 11:13:17,Male,21,71,my favorite,my favorite,my favorite,my favorite,my favorite,some what,178.6
11/22/2022 11:13:21,Female,21,50,seasonally,if no other fruits available,my favorite,some what,my favorite,my favorite,164
11/22/2022 11:13:33,Female,35,73,seasonally,my favorite,seasonally,seasonally,my favorite,seasonally,165
11/22/2022 11:13:40,Male,21,66,my favorite,my favorite,seasonally,my favorite,my favorite,some what,173
11/22/2022 11:13:48,Female,21,55,my favorite,my favorite,seasonally,seasonally,seasonally,seasonally,168
11/22/2022 11:13:50,Female,21,55,seasonally,my favorite,some what,my favorite,seasonally,some what,168
11/22/2022 11:14:04,Female,22,54,some what,my favorite,if no other fruits available,my favorite,seasonally,some what,154
11/22/2022 11:14:05,Female,21,64,seasonally,seasonally,if no other fruits available,my favorite,my favorite,not at all,157
11/22/2022 11:14:17,Male,21,54,some what,some what,some what,my favorite,some what,some what,169
11/22/2022 11:14:23,Female,20,45,my favorite,my favorite,some what,some what,my favorite,some what,164
11/22/2022 11:14:33,Female,21,53,my favorite,some what,my favorite,seasonally,not at all,some what,164
11/22/2022 11:14:37,Female,21,52,some what,if no other fruits available,my favorite,some what,my favorite,if no other fruits available,162
11/22/2022 11:14:38,Male,22,60,some what,some what,my favorite,my favorite,my favorite,not at all,170
11/22/2022 11:14:41,Female,21,60,seasonally,some what,my favorite,seasonally,my favorite,seasonally,165
11/22/2022 11:14:45,Male,21,63,some what,my favorite,not at all,some what,seasonally,some what,166
11/22/2022 11:15:02,Male,21,83,my favorite,my favorite,some what,my favorite,seasonally,some what,177
11/22/2022 11:15:03,Female,22,59,my favorite,if no other fruits available,if no other fruits available,seasonally,my favorite,my favorite,153
11/22/2022 11:15:07,Female,21,54,seasonally,seasonally,seasonally,seasonally,seasonally,seasonally,166
11/22/2022 11:15:09,Female,22,50,my favorite,my favorite,some what,my favorite,my favorite,my favorite,158
11/22/2022 11:15:23,Female,21,65,my favorite,my favorite,some what,my favorite,my favorite,my favorite,169
11/22/2022 11:15:57,Female,21,62,some what,my favorite,if no other fruits available,seasonally,seasonally,some what,160
11/22/2022 11:16:07,Female,30,65,my favorite,my favorite,seasonally,my favorite,my favorite,my favorite,160
11/22/2022 11:16:25,Female,21,55,some what,my favorite,some what,my favorite,seasonally,seasonally,162
11/22/2022 11:16:38,Female,21,42,my favorite,seasonally,my favorite,some what,my favorite,if no other fruits available,160
11/22/2022 11:17:13,Female,21,54,seasonally,seasonally,seasonally,my favorite,my favorite,seasonally,166
